word,level,pos,ipa,definition,example,vietnamese
"people",A1,noun,,"Human beings in general.","Many people attended.","mọi người"
"into",A1,prep,,"To the inside of.","He went into the room.","vào"
"year",A1,noun,,"12 months; a calendar year.","Next year I'll travel.","năm"
"your",A1,pron,,"Belonging to you.","Is this your book?","của bạn"
"good",A1,adj,,"Having desirable qualities.","This is a good book.","tốt"
"some",A1,det,,"An unspecified amount or number.","I have some money.","một vài"
"could",A2,aux,,"Past of can or polite request.","Could you help me?","có thể (lịch sự)"
"them",A1,pron,,"Third person plural object pronoun.","I saw them at the park.","họ (tân ngữ)"
"see",A1,verb,,"To look at; perceive with eyes.","I see a bird.","nhìn thấy"
"other",A1,adj,,"Different from the one or ones previously mentioned.","I prefer the other option.","khác"
"than",A1,conj,,"Used for comparison.","She is taller than me.","hơn"
"then",A1,adv,,"At that time; next.","We ate and then left.","sau đó"
"now",A1,adv,,"At the present time.","I am busy now.","bây giờ"
"look",A1,verb,,"To direct eyes toward.","Look at the picture.","nhìn"
"only",A1,adv,,"No more besides; solely.","I only have one pen.","chỉ"
"come",A1,verb,,"To move toward the speaker.","Please come here.","đến"
"its",A1,pron,,"Belonging to it.","The cat licked its paw.","của nó"
"over",A1,prep,,"Above or higher than.","The lamp hangs over the table.","qua, trên"
"think",A1,verb,,"To form ideas or opinions.","I think it's correct.","nghĩ"
"also",A1,adv,,"In addition; too.","She also likes music.","cũng"
"back",A1,adv,,"To the place one was before.","He came back home.","trở lại"
"after",A1,prep,,"Following in time or place.","We will meet after class.","sau"
"use",A1,verb,,"To put into service or action.","Use a pencil to write.","sử dụng"
"two",A1,num,,"The number 2.","I have two apples.","hai"
"how",A1,adv,,"In what way or manner.","How are you?","như thế nào"
"our",A1,pron,,"Belonging to us.","Our house is near.","của chúng tôi"
"work",A1,verb,,"To do a job or task.","I work from nine to five.","làm việc"
"first",A1,adj,,"Coming before all others in time or order.","She arrived first.","đầu tiên"
"well",A1,adv,,"In a good or satisfactory way.","He sings well.","tốt"
"way",A1,noun,,"A method or manner of doing something.","This is a good way to learn.","cách"
"even",A1,adv,,"Used to emphasize something surprising.","She can even cook well.","thậm chí"
"new",A1,adj,,"Not existing before; recently made.","He bought a new phone.","mới"
"want",A1,verb,,"To desire or wish for.","I want some water.","muốn"
"because",A1,conj,,"For the reason that.","I left because I was tired.","bởi vì"
"any",A1,det,,"One or some, no matter which.","Do you have any questions?","bất kỳ"
"these",A1,pron,,"Plural of this.","These are my friends.","những này"
"give",A1,verb,,"To transfer possession to someone.","Give me the book.","cho"
"day",A1,noun,,"A period of 24 hours or daylight.","Today is a sunny day.","ngày"
"most",A1,det,,"Nearly all; the greatest amount.","Most students passed the test.","hầu hết"
"us",A1,pron,,"Object form of we.","They invited us.","chúng tôi (tân ngữ)"
"isn't",A1,aux,,"Contraction of is not.","It isn't ready yet.","không phải là"
"mother",A1,noun,,"A female parent.","My mother cooks well.","mẹ"
"father",A1,noun,,"A male parent.","His father works abroad.","bố"
"sister",A1,noun,,"A female sibling.","I have one sister.","chị/em gái"
"brother",A1,noun,,"A male sibling.","My brother is older.","anh/em trai"
"family",A1,noun,,"A group related by blood or marriage.","Family time is important.","gia đình"
"home",A1,noun,,"The place where one lives.","I feel happy at home.","nhà"
"city",A1,noun,,"A large town.","She lives in the city.","thành phố"
"country",A1,noun,,"A nation with its own government.","He travels to another country.","quốc gia"
"school",A1,noun,,"A place where people study.","Children go to school.","trường học"
"student",A1,noun,,"A person who studies at a school.","The student studies hard.","học sinh/sinh viên"
"teacher",A1,noun,,"A person who teaches.","The teacher explains the lesson.","giáo viên"
"learn",A1,verb,,"To gain knowledge or skill.","I learn English every day.","học"
"study",A1,verb,,"To apply oneself to acquiring knowledge.","She studies for exams.","học tập"
"lesson",A1,noun,,"A period of learning about a subject.","Today's lesson is fun.","bài học"
"book",A1,noun,,"A set of written pages bound together.","He reads a book.","sách"
"page",A1,noun,,"One side of a sheet in a book.","Turn the page.","trang"
"pen",A1,noun,,"An instrument for writing with ink.","Write your name with a pen.","bút"
"pencil",A1,noun,,"A thin stick used for writing or drawing.","I draw with a pencil.","bút chì"
"paper",A1,noun,,"Material used for writing or printing.","Fold the paper carefully.","giấy"
"chair",A1,noun,,"A seat for one person.","Please sit on the chair.","ghế"
"table",A1,noun,,"A piece of furniture with a flat top.","Place the cup on the table.","bàn"
"door",A1,noun,,"A movable barrier for entering or leaving.","Open the door slowly.","cửa"
"window",A1,noun,,"An opening in a wall for light and air.","Open the window for fresh air.","cửa sổ"
"light",A1,noun,,"Brightness that makes things visible.","Turn on the light.","ánh sáng"
"dark",A1,adj,,"Lacking light; not bright.","It gets dark early in winter.","tối"
"hot",A1,adj,,"Having a high temperature.","The soup is hot.","nóng"
"cold",A1,adj,,"Having a low temperature.","It's cold outside.","lạnh"
"warm",A1,adj,,"Slightly hot; comfortable.","The water is warm.","ấm"
"cool",A1,adj,,"Moderately cold; pleasant.","The breeze is cool.","mát"
"rain",A1,noun,,"Water falling from clouds.","It may rain today.","mưa"
"snow",A1,noun,,"Frozen water falling from the sky.","We saw snow last winter.","tuyết"
"cloud",A1,noun,,"A visible mass of condensed water vapor in the sky.","The sky is full of clouds.","mây"
"sun",A1,noun,,"The star that gives light to Earth.","The sun rises in the east.","mặt trời"
"moon",A1,noun,,"The natural satellite of Earth.","The moon is bright tonight.","mặt trăng"
"star",A1,noun,,"A luminous point in the night sky.","We saw many stars.","ngôi sao"
"water",A1,noun,,"A clear liquid essential for life.","Drink water every day.","nước"
"food",A1,noun,,"Substances eaten to provide nutrition.","Food is on the table.","thức ăn"
"breakfast",A1,noun,,"The first meal of the day.","She eats breakfast at 7 am.","bữa sáng"
"lunch",A1,noun,,"A meal eaten in the middle of the day.","We have lunch together.","bữa trưa"
"dinner",A1,noun,,"The main meal of the day.","They cook dinner at home.","bữa tối"
"eat",A1,verb,,"To put food into the mouth and swallow.","I eat rice with vegetables.","ăn"
"drink",A1,verb,,"To take liquid into the mouth and swallow.","He drinks water.","uống"
"fruit",A1,noun,,"The sweet and fleshy product of a tree or plant.","Apples are my favorite fruit.","trái cây"
"vegetable",A1,noun,,"A plant or part of a plant used as food.","Eat more vegetables for health.","rau củ"
"meat",A1,noun,,"The flesh of animals used as food.","They cook meat for dinner.","thịt"
"fish",A1,noun,,"An animal that lives in water and is eaten as food.","We ate grilled fish.","cá"
"chicken",A1,noun,,"Meat from a domestic fowl.","Roast chicken tastes good.","gà"
"rice",A1,noun,,"A staple food of small grains.","She cooked rice for lunch.","gạo, cơm"
"bread",A1,noun,,"A baked food made from flour.","We buy fresh bread every morning.","bánh mì"
"butter",A1,noun,,"A dairy product made from churned cream.","Spread butter on toast.","bơ"
"salt",A1,noun,,"A white crystalline substance used for seasoning.","Add a little salt.","muối"
"sugar",A1,noun,,"A sweet substance used in food.","Don't put too much sugar in tea.","đường"
"coffee",A1,noun,,"A drink made from roasted coffee beans.","I drink coffee every morning.","cà phê"
"tea",A1,noun,,"A hot drink made by infusing leaves in boiling water.","Would you like some tea?","trà"
"milk",A1,noun,,"A white liquid produced by mammals.","Children often drink milk.","sữa"
"egg",A1,noun,,"An oval object laid by birds, used as food.","Boil an egg for breakfast.","trứng"
"knife",A1,noun,,"A tool with a sharp blade for cutting.","Cut the bread with a knife.","dao"
"fork",A1,noun,,"A utensil with prongs for eating.","Use a fork to eat salad.","nĩa"
"spoon",A1,noun,,"A utensil for stirring or eating liquids.","Stir soup with a spoon.","thìa"
"plate",A1,noun,,"A flat dish for serving food.","Place the food on the plate.","đĩa"
"cup",A1,noun,,"A small bowl-shaped container for drinking.","Pour tea into a cup.","cốc"
"glass",A1,noun,,"A container used for drinking liquids.","Fill the glass with water.","ly, cốc thủy tinh"
"kitchen",A1,noun,,"A room where food is prepared and cooked.","She cleaned the kitchen.","phòng bếp"
"restaurant",A1,noun,,"A place where meals are served to customers.","They met at a restaurant.","nhà hàng"
"menu",A1,noun,,"A list of food available in a restaurant.","Choose from the menu.","thực đơn"
"order",A1,verb,,"To request food or items.","Order two pizzas, please.","đặt (hàng), gọi món"
"pay",A1,verb,,"To give money for goods or services.","Pay the bill at the end.","trả tiền"
"price",A1,noun,,"The amount of money required to buy something.","What is the price of this shirt?","giá"
"cheap",A1,adj,,"Low in price.","This bag is cheap.","rẻ"
"expensive",A2,adj,,"Costing a lot of money.","The car is too expensive.","đắt"
"shop",A1,noun,,"A place where goods are sold.","Visit the shop near my house.","cửa hàng"
"market",A1,noun,,"A place where people buy and sell goods.","Buy vegetables at the market.","chợ"
"money",A1,noun,,"Coins or notes used to buy things.","Save your money.","tiền"
"bank",A1,noun,,"A financial institution for money services.","She opened an account at the bank.","ngân hàng"
"account",A2,noun,,"Record of financial transactions for a person or organization.","Check your bank account balance.","tài khoản"
"credit",B1,noun,,"An arrangement to receive goods now and pay later.","He applied for credit to buy a car.","tín dụng"
"debit",B1,noun,,"An entry recording an amount owed or paid.","Withdraw money from your debit card.","ghi nợ"
"card",A1,noun,,"A small piece of thick paper or plastic used for payment.","Use a card to pay.","thẻ"
"phone",A1,noun,,"A device for communication by voice.","Call me on my phone.","điện thoại"
"call",A1,verb,,"To speak to someone by phone.","I'll call you later.","gọi"
"message",A1,noun,,"A written or spoken communication sent to someone.","Send me a message.","tin nhắn"
"email",A2,noun,,"Electronic mail; a message sent over the internet.","I sent an email to my teacher.","thư điện tử"
"computer",A1,noun,,"An electronic device for processing data.","Use a computer for work.","máy tính"
"internet",A2,noun,,"A global network connecting computers and users.","Find information on the internet.","mạng internet"
"website",A2,noun,,"A collection of web pages on the internet.","Visit our website for details.","trang web"
"password",A2,noun,,"A secret word used to access accounts.","Change your password regularly.","mật khẩu"
"username",A2,noun,,"A unique identifier for a user on a system.","Enter your username to login.","tên đăng nhập"
"login",A2,verb,,"To enter credentials to access a system.","Login to view your profile.","đăng nhập"
"logout",A2,verb,,"To sign out from a system.","Logout after finishing.","đăng xuất"
"download",A2,verb,,"To transfer a file from the internet to your device.","Download the PDF file.","tải xuống"
"upload",A2,verb,,"To transfer a file from your device to the internet.","Upload your photo.","tải lên"
"photo",A1,noun,,"A picture taken with a camera.","Take a photo of the view.","ảnh"
"video",A2,noun,,"A recording of moving images.","Watch the video tutorial.","video"
"movie",A1,noun,,"A story or event recorded by a camera as a set of moving images.","We watched a movie last night.","phim"
"music",A1,noun,,"Sound organized in time, often with melody.","I listen to music while studying.","âm nhạc"
"song",A1,noun,,"A short musical composition with words.","She sang a lovely song.","bài hát"
"dance",A1,verb,,"To move rhythmically to music.","They dance at the party.","nhảy"
"art",A2,noun,,"Creative work or its study.","She studies modern art.","nghệ thuật"
"museum",A2,noun,,"A building where objects of historical or artistic interest are kept.","Visit the museum on Sunday.","bảo tàng"
"gallery",B1,noun,,"A room or building for showing works of art.","The gallery showcases local artists.","phòng trưng bày nghệ thuật"
"sport",A1,noun,,"An activity involving physical exertion and skill.","He enjoys playing sport.","thể thao"
"game",A1,noun,,"A structured activity for fun or competition.","We played a board game.","trò chơi"
"team",A1,noun,,"A group of people working together.","Our team won the match.","đội"
"player",A1,noun,,"A person who plays a game or sport.","He is a talented player.","cầu thủ"
"win",A1,verb,,"To be successful in a contest or game.","They hope to win the race.","thắng"
"lose",A1,verb,,"To fail to win.","We might lose the game.","thua"
"score",A2,noun,,"Number of points achieved in a game.","What's the score?","tỷ số"
"match",A2,noun,,"A competitive game between two teams or players.","The match starts at 6 pm.","trận đấu"
"coach",B1,noun,,"A trainer or instructor for athletes.","The coach gave instructions.","huấn luyện viên"
"exercise",A2,noun,,"An activity done to improve skill or health.","Morning exercise keeps me fit.","bài tập, luyện tập"
"health",A1,noun,,"The condition of being well.","Good food helps your health.","sức khỏe"
"doctor",A1,noun,,"A person trained to treat the sick.","See a doctor if you're ill.","bác sĩ"
"hospital",A1,noun,,"A place where sick people receive medical care.","He works at the hospital.","bệnh viện"
"medicine",A2,noun,,"A substance used for treating illness.","Take medicine as prescribed.","thuốc"
"pain",A2,noun,,"Physical suffering or discomfort.","She felt pain in her leg.","đau đớn"
"hurt",A1,verb,,"To cause pain or injury.","Be careful not to hurt yourself.","làm đau"
"doctor",A1,noun,,"A medical professional.","The doctor checked my temperature.","bác sĩ"
"appointment",A2,noun,,"A scheduled meeting.","I have a dentist appointment tomorrow.","cuộc hẹn"
"dog",A1,noun,,"A common pet animal.","Her dog is friendly.","con chó"
"cat",A1,noun,,"A small pet animal.","The cat sleeps on the chair.","con mèo"
"bird",A1,noun,,"An animal with wings and feathers.","We saw a bird in the garden.","chim"
"animal",A1,noun,,"A living creature that is not human.","Many animals live in the forest.","động vật"
"farm",A1,noun,,"An area used for growing crops or raising animals.","They live on a farm.","trang trại"
"garden",A1,noun,,"An area for growing plants and flowers.","She planted roses in the garden.","vườn"
"plant",A1,verb,,"To put a seed or plant into the ground to grow.","We plant trees every year.","trồng"
"flower",A1,noun,,"The colorful part of a plant.","The garden is full of flowers.","hoa"
"tree",A1,noun,,"A large plant with a trunk and branches.","The tree gives shade.","cây"
"leaf",A1,noun,,"A flat green part of a plant.","A leaf fell from the tree.","lá"
"mountain",A2,noun,,"A very high natural elevation of the earth's surface.","We hiked up the mountain.","núi"
"river",A2,noun,,"A large natural stream of water.","The river flows to the sea.","con sông"
"sea",A1,noun,,"A large body of salty water.","We swam in the sea.","biển"
"beach",A1,noun,,"Sandy area beside the sea.","We walked on the beach.","bãi biển"
"island",A2,noun,,"Land surrounded by water.","They visited a small island.","đảo"
"forest",A2,noun,,"A large area covered with trees.","The forest is dense.","rừng"
"weather",A1,noun,,"The condition of the atmosphere (sunny, rainy, etc.).",
