word,level,pos,ipa,definition,example,vietnamese
"play",A1,verb,/pleɪ/ ,"To take part in fun or games.","They play football every weekend.","chơi"
"run",A1,verb,/rʌn/ ,"To move quickly on foot.","I run in the park.","chạy"
"walk",A1,verb,/wɔːk/ ,"To move at a regular pace by lifting and setting down each foot.","We walk to school.","đi bộ"
"sleep",A1,verb,/sliːp/ ,"To rest with eyes closed.","I sleep eight hours a night.","ngủ"
"read",A1,verb,/riːd/ ,"To look at and understand written words.","She reads a book.","đọc"
"write",A1,verb,/raɪt/ ,"To form letters or words on a surface.","Please write your name.","viết"
"watch",A1,verb,/wɒtʃ/ ,"To look at something for a period of time.","We watch movies on Sunday.","xem (phim)"
"listen",A1,verb,/ˈlɪsən/ ,"To give attention to sound or speech.","Listen to the teacher.","nghe"
"hear",A1,verb,/hɪr/ ,"To perceive sound with ears.","Can you hear the music?","nghe thấy"
"speak",A1,verb,/spiːk/ ,"To say words; to talk.","She can speak English.","nói"
"say",A1,verb,/seɪ/ ,"To express in words.","What did you say?","nói"
"tell",A1,verb,/tɛl/ ,"To give information to someone.","Tell me the story.","kể, nói cho biết"
"ask",A1,verb,/æsk/ ,"To say something to get information.","Ask a question.","hỏi"
"answer",A1,verb,/ˈɑːnsər/ ,"To say something in response.","Answer the phone.","trả lời"
"walk",A1,verb,/wɔːk/ ,"To move on foot.","We walk to the store.","đi bộ"
"open",A1,verb,/ˈoʊpən/ ,"To move something so that the inside is available.","Open the door, please.","mở"
"close",A1,verb,/kloʊz/ ,"To make something not open.","Close the window.","đóng"
"big",A1,adj,/bɪɡ/ ,"Large in size.","They live in a big house.","to, lớn"
"small",A1,adj,/smɔːl/ ,"Little in size.","A small cat sat on the mat.","nhỏ"
"good",A1,adj,/ɡʊd/ ,"Of high quality or well done.","She is a good student.","tốt"
"bad",A1,adj,/bæd/ ,"Not good; low quality.","This food tastes bad.","xấu, tệ"
"new",A1,adj,/njuː/ ,"Not old; recently made or bought.","He bought a new phone.","mới"
"old",A1,adj,/oʊld/ ,"Not new; having lived for many years.","My car is old.","cũ, già"
"young",A1,adj,/jʌŋ/ ,"Having lived for only a short time; not old.","The young boy is active.","trẻ"
"happy",A1,adj,/ˈhæpi/ ,"Feeling or showing pleasure.","She is happy today.","vui"
"sad",A1,adj,/sæd/ ,"Feeling unhappy.","He felt sad after the movie.","buồn"
"easy",A1,adj,/ˈiːzi/ ,"Not difficult.","This exercise is easy.","dễ dàng"
"difficult",A2,adj,/ˈdɪfɪkəlt/ ,"Not easy; hard to do.","That problem is difficult.","khó"
"hot",A1,adj,/hɒt/ ,"Having a high temperature.","The coffee is hot.","nóng"
"cold",A1,adj,/koʊld/ ,"Having a low temperature.","It is very cold today.","lạnh"
"long",A1,adj,/lɒŋ/ ,"Measuring a large distance from one end to the other.","She has long hair.","dài"
"short",A1,adj,/ʃɔːrt/ ,"Measuring a small distance.","He has short hair.","ngắn"
"clean",A1,adj,/kliːn/ ,"Free from dirt.","The kitchen is clean.","sạch"
"dirty",A1,adj,/ˈdɜːrti/ ,"Not clean; covered with dirt.","The floor is dirty.","bẩn"
"old",A1,adj,/oʊld/ ,"Having existed for many years.","An old friend visited.","cũ, già"
"beautiful",A2,adj,/ˈbjuːtɪfəl/ ,"Pleasing to the senses or mind.","The garden is beautiful.","đẹp"
"important",A2,adj,/ɪmˈpɔːrtənt/ ,"Of great value or significance.","Education is important.","quan trọng"
"think",A1,verb,/θɪŋk/ ,"To have thoughts in your mind.","I think it's a good idea.","nghĩ"
"know",A1,verb,/noʊ/ ,"To have information in your mind.","I know her name.","biết"
"want",A1,verb,/wɒnt/ ,"To wish for something.","I want a sandwich.","muốn"
"need",A1,verb,/niːd/ ,"To require something necessary.","You need water to live.","cần"
"like",A1,verb,/laɪk/ ,"To enjoy or prefer something.","I like chocolate.","thích"
"love",A1,verb,/lʌv/ ,"To have a strong feeling of affection.","She loves her family.","yêu"
"help",A1,verb,/hɛlp/ ,"To make it easier for someone to do something.","Can you help me?","giúp đỡ"
"call",A1,verb,/kɔːl/ ,"To speak to someone on the phone.","Call me tonight.","gọi"
"wait",A1,verb,/weɪt/ ,"To stay in place until something happens.","Please wait a moment.","chờ"
"use",A1,verb,/juːz/ ,"To do something with a tool or object.","I use a computer at work.","sử dụng"
"buy",A1,verb,/baɪ/ ,"To get something by paying money.","I will buy a new bag.","mua"
"sell",A1,verb,/sɛl/ ,"To give something in exchange for money.","They sell fresh bread.","bán"
"pay",A1,verb,/peɪ/ ,"To give money for something.","Please pay the bill.","trả tiền"
"start",A1,verb,/stɑːrt/ ,"To begin something.","We start class at nine.","bắt đầu"
"finish",A1,verb,/ˈfɪnɪʃ/ ,"To complete something.","Finish your homework.","kết thúc"
"close",A1,verb,/kloʊz/ ,"To shut something.","Close the door.","đóng"
"open",A1,verb,/ˈoʊpən/ ,"To make accessible or remove a cover.","Open the window.","mở"
"cold",A1,adj,/koʊld/ ,"Low in temperature.","It's cold outside.","lạnh"
"warm",A1,adj,/wɔːrm/ ,"Slightly hot; comfortable temperature.","The room is warm.","ấm"
"rain",A1,noun,/reɪn/ ,"Water falling from the sky.","It may rain today.","mưa"
"snow",A1,noun,/snoʊ/ ,"White ice crystals that fall in cold weather.","Snow covered the ground.","tuyết"
"cloud",A1,noun,/klaʊd/ ,"A mass of tiny water droplets in the sky.","The sky has many clouds.","mây"
"wind",A1,noun,/wɪnd/ ,"Moving air.","The wind is strong today.","gió"
"sun",A1,noun,/sʌn/ ,"The star that gives light and heat to Earth.","The sun is shining.","mặt trời"
"star",A1,noun,/stɑːr/ ,"A bright point of light in the night sky.","We saw many stars last night.","ngôi sao"
"sky",A1,noun,/skaɪ/ ,"The area over the Earth where clouds and the sun appear.","The sky is blue.","bầu trời"
"river",A2,noun,/ˈrɪvər/ ,"A large natural stream of water flowing to the sea.","The river flows to the sea.","con sông"
"sea",A1,noun,/siː/ ,"A large body of salt water.","We swam in the sea.","biển"
"lake",A2,noun,/leɪk/ ,"A body of water surrounded by land.","They sailed on the lake.","hồ"
"mountain",A2,noun,/ˈmaʊntən/ ,"A very high natural place on Earth.","We climbed the mountain.","núi"
"forest",A2,noun,/ˈfɒrɪst/ ,"A large area covered with trees.","The forest is full of animals.","rừng"
"garden",A1,noun,/ˈɡɑːrdən/ ,"A piece of ground used for growing plants.","She works in the garden.","vườn"
"flower",A1,noun,/ˈflaʊər/ ,"The colorful part of a plant.","The flowers smell nice.","hoa"
"tree",A1,noun,/triː/ ,"A tall plant with a trunk and branches.","The tree gives shade.","cây"
"leaf",A1,noun,/liːf/ ,"A flat green part of a plant.","A leaf fell from the tree.","lá"
"chair",A1,noun,/tʃɛər/ ,"A piece of furniture for sitting.","Please sit on the chair.","ghế"
"table",A1,noun,/ˈteɪbəl/ ,"A piece of furniture with a flat top and legs.","The book is on the table.","bàn"
"bed",A1,noun,/bɛd/ ,"Furniture for sleeping on.","He went to bed early.","giường"
"door",A1,noun,/dɔːr/ ,"A movable barrier used to open and close an entrance.","Close the door behind you.","cửa"
"window",A1,noun,/ˈwɪndoʊ/ ,"An opening in a wall or vehicle with glass.","Open the window for fresh air.","cửa sổ"
"phone",A1,noun,/foʊn/ ,"A device used to talk to people far away.","She called me on the phone.","điện thoại"
"computer",A1,noun,/kəmˈpjuːtər/ ,"An electronic device for storing and processing data.","I use a computer for work.","máy tính"
"mouse",A1,noun,/maʊs/ ,"A small animal or a computer device used to point and click.","Move the mouse to click the icon.","chuột"
"keyboard",A1,noun,/ˈkiːbɔːrd/ ,"A set of keys used to type on a computer.","Type your name on the keyboard.","bàn phím"
"bag",A1,noun,/bæɡ/ ,"A container for carrying things.","She put books in her bag.","cái túi"
"shoe",A1,noun,/ʃuː/ ,"An item worn on the foot.","He bought new shoes.","giày"
"shirt",A1,noun,/ʃɜːrt/ ,"A piece of clothing for the upper body.","He wore a white shirt.","áo sơ mi"
"trouser",A1,noun,/ˈtraʊzər/ ,"Clothing worn on the lower body (plural: trousers).","He ironed his trousers.","quần"
"hat",A1,noun,/hæt/ ,"A covering for the head.","She wore a hat in the sun.","mũ"
"clock",A1,noun,/klɒk/ ,"A device that shows time.","Look at the clock.","đồng hồ"
"watch",A1,noun,/wɒtʃ/ ,"A small clock worn on the wrist.","He looked at his watch.","đồng hồ đeo tay"
"camera",A2,noun,/ˈkæmərə/ ,"A device for taking photographs or video.","She bought a new camera.","máy ảnh"
"picture",A1,noun,/ˈpɪktʃər/ ,"A visual image or photograph.","Look at this picture.","bức tranh, hình ảnh"
"movie",A1,noun,/ˈmuːvi/ ,"A film shown at cinemas or on TV.","We watched a movie last night.","phim"
"music",A1,noun,/ˈmjuːzɪk/ ,"Sounds sung by instruments or voices in a structured way.","I like to listen to music.","âm nhạc"
"song",A1,noun,/sɒŋ/ ,"A short poem or set of words set to music.","She sang a beautiful song.","bài hát"
"dance",A1,verb,/dæns/ ,"To move the body rhythmically to music.","They dance at the party.","nhảy"
"party",A1,noun,/ˈpɑːrti/ ,"A social gathering for celebration.","We had a birthday party.","bữa tiệc"
"holiday",A1,noun,/ˈhɒlɪdeɪ/ ,"A period of time to relax or travel.","They went on holiday.","kỳ nghỉ"
"travel",A2,verb,/ˈtrævəl/ ,"To go from one place to another, often far away.","We travel by plane.","du lịch"
"airport",A2,noun,/ˈeərpɔːrt/ ,"A place where planes take off and land.","We arrived at the airport.","sân bay"
"ticket",A1,noun,/ˈtɪkɪt/ ,"A small paper or electronic voucher to enter or travel.","Buy a ticket for the show.","vé"
"bus",A1,noun,/bʌs/ ,"A large vehicle for carrying passengers.","We took the bus to town.","xe buýt"
"train",A1,noun,/treɪn/ ,"A series of connected vehicles traveling on rails.","The train arrives at 6 pm.","tàu hỏa"
"plane",A1,noun,/pleɪn/ ,"A vehicle that flies in the sky.","The plane landed safely.","máy bay"
"station",A1,noun,/ˈsteɪʃən/ ,"A place where trains or buses stop regularly.","We waited at the station.","ga, trạm"
"ticket",A1,noun,/ˈtɪkɪt/ ,"A pass for travel or entry.","Show your ticket, please.","vé"
"bank",A1,noun,/bæŋk/ ,"A financial institution for money services.","She deposited money in the bank.","ngân hàng"
"hospital",A1,noun,/ˈhɒspɪtəl/ ,"A place where sick or injured people receive care.","He was taken to the hospital.","bệnh viện"
"doctor",A1,noun,/ˈdɒktər/ ,"A person trained to treat sick people.","See a doctor if you are ill.","bác sĩ"
"nurse",A1,noun,/nɜːrs/ ,"A person who cares for the sick.","The nurse checked my temperature.","y tá"
"police",A1,noun,/pəˈliːs/ ,"A service that keeps public order and enforces the law.","Call the police in an emergency.","cảnh sát"
"fire",A1,noun,/faɪər/ ,"A dangerous burning situation or the flame itself.","The fire was put out quickly.","lửa"
"help",A1,noun,/hɛlp/ ,"Assistance given to someone.","She asked for help.","sự giúp đỡ"
"danger",A2,noun,/ˈdeɪndʒər/ ,"The possibility of harm or injury.","The sign warned of danger.","nguy hiểm"
"safe",A1,adj,/seɪf/ ,"Not likely to cause harm.","Keep your keys in a safe place.","an toàn"
"clean",A1,verb,/kliːn/ ,"To remove dirt from something.","Please clean your room.","dọn dẹp"
"drive",A1,verb,/draɪv/ ,"To control and operate a vehicle.","He can drive a car.","lái xe"
"cook",A1,verb,/kʊk/ ,"To prepare food by heating it.","She likes to cook dinner.","nấu ăn"
"bake",A2,verb,/beɪk/ ,"To cook food using dry heat in an oven.","Bake the cake for 30 minutes.","nướng"
"cleaner",A2,noun,/ˈkliːnər/ ,"A person or thing that cleans.","The cleaner arrived early.","người dọn dẹp"
"service",A2,noun,/ˈsɜːrvɪs/ ,"Work done to help others or provide a product.","The service at the restaurant was good.","dịch vụ"
"schoolbag",A1,noun,/ˈskuːlbæɡ/ ,"A bag for carrying school materials.","He carried his schoolbag on his back.","cặp sách"
"uniform",A1,noun,/ˈjuːnɪfɔːrm/ ,"Special clothing worn by members of the same organization.","Students wear a school uniform.","đồng phục"
"lesson",A1,noun,/ˈlɛsən/ ,"A period of teaching or learning on a subject.","Today's lesson is about verbs.","bài học"
"homework",A1,noun,/ˈhoʊmwɜːrk/ ,"Schoolwork assigned to be done at home.","Finish your homework before dinner.","bài tập về nhà"
"exam",A2,noun,/ɪɡˈzæm/ ,"A formal test of a person's knowledge or ability.","She studied hard for the exam.","kỳ thi"
"grade",A2,noun,/ɡreɪd/ ,"A score or level given for schoolwork.","He got a good grade on the test.","điểm"
"pass",A2,verb,/pæs/ ,"To succeed in an exam or test.","I hope to pass the exam.","đỗ"
"fail",A2,verb,/feɪl/ ,"To not succeed in an exam or task.","She was afraid to fail.","trượt"
"score",A2,noun,/skɔːr/ ,"The number of points achieved in a test or game.","His score was high.","điểm số"
"practice",A2,verb,/ˈpræktɪs/ ,"To do something repeatedly to improve.","Practice speaking English every day.","luyện tập"
"exercise",A2,noun,/ˈɛksərsaɪz/ ,"An activity done to improve skill or health.","Morning exercise is healthy.","bài tập, tập thể dục"
"health",A1,noun,/hɛlθ/ ,"The state of being well.","Good food helps your health.","sức khỏe"
"medicine",A2,noun,/ˈmɛdɪsɪn/ ,"A substance used for treating illness.","Take your medicine twice a day.","thuốc"
"doctor",A1,noun,/ˈdɒktər/ ,"A medical professional.","See a doctor if you are ill.","bác sĩ"
"appointment",A2,noun,/əˈpɔɪntmənt/ ,"A scheduled meeting with a professional.","I have a dentist appointment tomorrow.","cuộc hẹn"
"dentist",A2,noun,/ˈdɛntɪst/ ,"A doctor for teeth.","The dentist checked my teeth.","nha sĩ"
"ticket",A1,noun,/ˈtɪkɪt/ ,"A pass for travel or entry.","Show your ticket, please.","vé"
